p,D,seed,DX,D_diff,time,abs_theta
0.0,0.0,10,0.03571428571428571,0.0,0.0,0.057983700186014175
0.0,0.0,10,0.03571428571428571,0.0,0.01,0.3078448176383972
0.0,0.0,10,0.03571428571428571,0.0,0.02,0.21750903129577637
0.0,0.0,10,0.03571428571428571,0.0,0.03,0.41321197152137756
0.0,0.0,10,0.03571428571428571,0.0,0.04,0.3798174560070038
0.0,0.0,10,0.03571428571428571,0.0,0.05,0.29579856991767883
0.0,0.0,10,0.03571428571428571,0.0,0.06,0.37359878420829773
0.0,0.0,10,0.03571428571428571,0.0,0.07,0.14410540461540222
0.0,0.0,10,0.03571428571428571,0.0,0.08,0.06921452283859253
0.0,0.0,10,0.03571428571428571,0.0,0.09,0.22873547673225403
0.0,0.0,10,0.03571428571428571,0.0,0.1,0.7151039838790894
0.0,0.0,10,0.03571428571428571,0.0,0.11,1.0672844648361206
0.0,0.0,10,0.03571428571428571,0.0,0.12,1.0559591054916382
0.0,0.0,10,0.03571428571428571,0.0,0.13,0.8854164481163025
0.0,0.0,10,0.03571428571428571,0.0,0.14,0.7896119952201843
0.0,0.0,10,0.03571428571428571,0.0,0.15,0.7371177077293396
0.0,0.0,10,0.03571428571428571,0.0,0.16,0.7394605278968811
0.0,0.0,10,0.03571428571428571,0.0,0.17,0.9093115925788879
0.0,0.0,10,0.03571428571428571,0.0,0.18,0.9318347573280334
0.0,0.0,10,0.03571428571428571,0.0,0.19,0.9767695069313049
0.0,0.0,10,0.03571428571428571,0.0,0.2,0.9642535448074341
0.0,0.0,10,0.03571428571428571,0.0,0.21,0.9701329469680786
0.0,0.0,10,0.03571428571428571,0.0,0.22,0.9575741291046143
0.0,0.0,10,0.03571428571428571,0.0,0.23,0.9577497243881226
0.0,0.0,10,0.03571428571428571,0.0,0.24,0.7972987294197083
0.0,0.0,10,0.03571428571428571,0.0,0.25,0.6642984747886658
0.0,0.0,10,0.03571428571428571,0.0,0.26,0.6681899428367615
0.0,0.0,10,0.03571428571428571,0.0,0.27,0.690299391746521
0.0,0.0,10,0.03571428571428571,0.0,0.28,0.5413078665733337
0.0,0.0,10,0.03571428571428571,0.0,0.29,0.48105740547180176
0.0,0.0,10,0.03571428571428571,0.0,0.3,0.5009159445762634
0.0,0.0,10,0.03571428571428571,0.0,0.31,0.530979335308075
0.0,0.0,10,0.03571428571428571,0.0,0.32,0.7366206645965576
0.0,0.0,10,0.03571428571428571,0.0,0.33,0.7300093173980713
0.0,0.0,10,0.03571428571428571,0.0,0.34,0.6916894316673279
0.0,0.0,10,0.03571428571428571,0.0,0.35000000000000003,0.5488321185112
0.0,0.0,10,0.03571428571428571,0.0,0.36,0.537581205368042
0.0,0.0,10,0.03571428571428571,0.0,0.37,0.38839852809906006
0.0,0.0,10,0.03571428571428571,0.0,0.38,0.35431015491485596
